zip	data
02445	9594
02446	14426
02451	7544
02452	5464
02453	12684
02457	17
02458	5053
02459	6475
02460	3972
02461	2544
02462	526
02464	1395
02465	4381
02466	2929
02467	6728
02468	2027
02472	16220
02474	12049
02476	7804
02478	10336
02481	4963
02482	4121
02492	7339
02493	3532
02494	4062
02532	6172
02534	439
02535	798
02536	8936
02537	2404
02538	1724
02539	1666
02540	4113
02542	256
02543	468
02553	38
02554	4919
02556	1088
02557	924
02558	890
02559	1444
02561	172
02562	1412
02563	4284
02564	106
02568	3095
02571	5035
02575	852
02576	1820
02584	23
02601	7134
02630	851
02631	4720
02632	4789
02633	2243
02635	1637
02637	185
02638	1390
02639	1785
02641	133
02642	2860
02643	0
02644	1408
02645	4831
02646	957
02647	100
02648	3032
02649	6853
02650	470
02652	642
02653	3002
02655	1641
02657	2034
02659	548
02660	3068
02663	195
02664	4561
02666	411
02667	1729
02668	1042
02670	717
02671	470
02672	0
02673	4112
02675	3229
02702	1577
02703	17767
02713	18
02715	1444
02717	1605
02718	2499
02719	7200
02720	14300
02721	11288
02723	7580
02724	8342
02725	822
02726	6530
02738	1970
02739	2974
02740	19586
02743	4081
02744	5239
02745	10160
02746	7210
02747	7178
02748	4854
02760	12098
02762	4200
02763	757
02764	1460
02766	6558
02767	5931
02769	4643
02770	2099
02771	5847
02777	6741
02779	2297
02780	21340
02790	6735
02791	215
02802	302
02804	1014
02806	5978
02807	393
02808	970
02809	8480
02812	432
02813	3481
02814	2879
02815	67
02816	13667
02817	2401
02818	8185
02822	2011
02823	10
02824	110
02825	1952
02826	318
02827	833
02828	2930
02829	16
02830	2705
02831	1308
02832	2024
02833	287
02835	2563
02836	36
02837	1578
02838	1451
02839	634
02840	10663
02841	12
02842	7237
02852	9872
02857	3381
02858	124
02859	2273
02860	19791
02861	11259
02863	7487
02864	14102
02865	6905
02871	7219
02872	61
02873	89
02874	2283
02875	128
02876	384
02878	6853
02879	9499
02881	1059
02882	5536
02885	4962
02886	13121
02888	8740
02889	11443
02891	10002
02892	2023
02893	14350
02894	196
02895	17472
02896	4525
02898	713
02903	5648
02904	13635
02905	9755
02906	12434
02907	10747
02908	14682
02909	15704
02910	8916
02911	6614
02912	15
02914	9211
02915	7359
02916	3787
02917	4883
02918	37
02919	11295
02920	14657
02921	4758
03031	4540
03032	1998
03033	1853
03034	1559
03036	1827
03037	1579
03038	13179
03042	3023
03043	561
03044	1779
03045	5338
03046	1181
03047	688
03048	1410
03049	3367
03051	9752
03052	3015
03053	9482
03054	10378
03055	6441
03057	883
03060	12359
03062	11657
03063	6546
03064	6345
03070	2092
03071	1824
03076	5005
03077	4269
03079	12573
03082	629
03084	509
03086	1701
03087	5454
03101	1987
03102	14530
03103	15345
03104	14727
03106	5475
03109	4120
03110	8033
03215	120
03216	873
03217	979
03218	483
03220	2963
03221	931
03222	2477
03223	1209
03224	956
03225	1353
03226	413
03227	712
03229	2112
03230	646
03231	34
03233	88
03234	1998
03235	3623
03237	1004
03238	37
03240	489
03241	425
03242	2176
03243	364
03244	2916
03245	844
03246	7112
03249	2957
03251	659
03253	3122
03254	2311
03255	754
03256	920
03257	1628
03258	1039
03259	138
03260	325
03261	1653
03262	468
03263	1746
03264	2196
03266	829
03268	570
03269	1055
03273	145
03275	4596
03276	3492
03278	1218
03279	317
03280	453
03281	3594
03282	382
03284	241
03285	1206
03287	630
03290	2021
03291	0
03293	18
03301	13683
03303	6679
03304	2853
03307	2254
03431	10062
03440	1061
03441	137
03442	660
03443	238
03444	603
03445	279
03446	2823
03447	969
03448	268
03449	783
03450	412
03451	1691
03452	2063
03455	930
03456	334
03457	279
03458	3116
03461	1997
03462	705
03464	384
03465	784
03466	556
03467	900
03470	1900
03561	2782
03570	3703
03574	1069
03575	0
03576	1366
03579	202
03580	626
03581	1653
03582	965
03583	504
03584	1542
03585	1056
03586	252
03588	750
03590	439
03592	494
03593	176
03595	383
03597	193
03598	1475
03601	116
03602	1022
03603	1968
03604	0
03605	310
03607	107
03608	1193
03609	251
03740	429
03741	1648
